date,phone.number,transaction.amount
2022-05-07,9787346437,11
2022-05-07,9845234942,47
2022-05-07,7626912243,120
2022-05-07,5056444038,132
2022-05-07,4847928314,37
2022-05-07,8642009271,30
2022-05-08,7653733823,47
2022-05-08,9855030779,28
2022-05-08,5056982969,129
2022-05-08,5056117346,11
2022-05-08,8705770605,10
2022-05-08,4722448078,55
2022-05-08,5056160428,133
2022-05-08,5056449363,121
2022-05-08,5056448723,125
2022-05-08,9849954923,126
2022-05-08,4722278803,122
2022-05-08,9846925504,25
2022-05-08,9894093512,135
2022-05-08,9849202580,24
2022-05-08,5056444038,91
2022-05-08,5056445938,59
2022-05-08,9897004355,10
2022-05-08,6819987513,114
2022-05-08,5804418964,13
2022-05-08,9303637458,10
2022-05-08,5058955281,48
2022-05-08,5054787187,45
2022-05-08,9412587234,51
2022-05-08,9864486163,71
2022-05-08,8594720803,110
2022-05-08,4722687535,10
2022-05-08,4722179999,62
2022-05-08,8729449796,29
2022-05-08,9806622673,117
2022-05-08,9599034385,36
2022-05-08,5055568825,10
2022-05-09,5056466313,26
2022-05-09,5052648682,54
2022-05-09,5056678197,41
2022-05-09,6817436358,54
2022-05-09,5056443770,115
2022-05-09,4722833029,111
2022-05-09,5055881220,58
2022-05-09,5057381213,119
2022-05-09,8633925296,43
2022-05-09,5056753823,47
2022-05-09,9798031564,27
2022-05-09,5054509699,120
2022-05-09,5053802401,7
2022-05-09,8488836699,37
2022-05-09,5055396209,106
2022-05-09,8784787578,46
2022-05-09,5743884267,122
2022-05-09,5056444504,7
2022-05-09,8706003849,31
2022-05-09,5056847551,32
2022-05-09,4722616762,27
2022-05-09,5055634103,121
2022-05-09,8705538168,38
2022-05-09,9794303861,33
2022-05-09,5056466313,35
2022-05-09,5056469177,14
2022-05-09,7792446673,16
2022-05-09,7817584079,118
2022-05-09,8476617768,31
2022-05-09,5059350304,7
2022-05-09,9736500577,114
2022-05-09,7705752126,38
2022-05-09,5056598144,37
2022-05-10,7818811013,5
2022-05-10,8593431336,47
2022-05-10,4722097677,36
2022-05-10,9896955005,59
2022-05-10,5056465556,11
2022-05-10,4722028201,34
2022-05-10,5056447134,7
2022-05-10,5058955281,22
2022-05-10,5056753823,60
2022-05-10,4722574286,17
2022-05-10,4722855158,123
2022-05-10,5058119459,29
2022-05-10,5056462505,118
2022-05-10,9518637589,121
2022-05-10,4722869536,110
2022-05-10,9724045171,36
2022-05-10,8727564953,55
2022-05-10,8608900057,54
2022-05-10,9805613149,55
2022-05-10,5829086849,30
2022-05-10,5059015801,56
2022-05-10,7863392224,13
2022-05-10,5056791068,10
2022-05-10,8635569301,119
2022-05-10,5053806113,8
2022-05-10,5056566682,16
2022-05-10,7705752126,115
2022-05-10,8626483565,119
2022-05-10,8725797366,30
2022-05-10,8432616979,135
2022-05-10,5057413596,30
2022-05-10,9733750547,113
2022-05-10,5056440517,102
2022-05-10,5058462778,38
2022-05-10,5056445147,27
2022-05-10,5058336275,5
2022-05-11,5052615308,132
2022-05-11,8408187889,151
2022-05-11,9846728558,12
2022-05-11,9734381461,122
2022-05-11,5052067155,56
2022-05-11,5056336181,12
2022-05-11,5056179536,130
2022-05-11,5056461017,66
2022-05-11,9899204580,5
2022-05-11,8702617860,27
2022-05-11,8706183940,13
2022-05-11,5056816936,124
2022-05-11,6609896679,49
2022-05-11,9789963750,13
2022-05-11,5055420273,109
2022-05-11,5056318521,17
2022-05-11,5056466313,31
2022-05-11,5053726638,53
2022-05-11,5056242243,34
2022-05-11,9805019714,114
2022-05-11,5056441763,30
2022-05-11,5056257346,127
2022-05-11,5056034415,119
2022-05-11,7853678205,132
2022-05-11,4722180500,12
2022-05-11,9806622673,34
2022-05-11,9783216210,6
2022-05-11,9289053743,28
2022-05-11,8707033901,15
2022-05-11,5055881220,53
2022-05-11,9857156709,118
2022-05-11,7869982037,132
2022-05-11,8608900057,15
2022-05-11,5052059378,119
2022-05-11,4722867876,135
2022-05-11,4722315204,28
2022-05-11,5056598144,126
2022-05-12,4722586356,14
2022-05-12,5056791068,48
2022-05-12,8655667579,37
2022-05-12,7729919993,154
2022-05-12,5057559517,48
2022-05-12,8703583272,122
2022-05-12,9798031564,31
2022-05-12,5056526683,106
2022-05-12,7815743310,39
2022-05-12,8729132227,43
2022-05-12,8727295189,110
2022-05-12,5059350304,14
2022-05-12,5056006673,125
2022-05-12,7748551710,59
2022-05-12,8505584205,12
2022-05-12,5056461056,58
2022-05-12,4722742993,37
2022-05-12,5056716383,49
2022-05-12,9856239159,110
2022-05-12,9494334827,49
2022-05-12,4722923974,29
2022-05-12,9862527763,13
2022-05-12,4722093852,9
2022-05-12,9899204580,114
2022-05-12,7819255661,53
2022-05-12,5056468932,19
2022-05-12,5056758812,128
2022-05-12,8784879269,111
2022-05-12,5059174272,20
2022-05-12,8726216953,127
2022-05-12,5058166332,119
2022-05-12,9562228081,62
2022-05-12,5056468932,48
2022-05-13,8605967517,32
2022-05-13,4722915712,111
2022-05-13,6806723465,51
2022-05-13,7758509293,9
2022-05-13,9403906465,10
2022-05-13,9868940946,15
2022-05-13,4722980215,73
2022-05-13,4722855158,129
2022-05-13,5056713240,21
2022-05-13,4722616762,56
2022-05-13,8638731681,63
2022-05-13,5054182893,31
2022-05-13,4722975574,12
2022-05-13,9474652834,52
2022-05-13,7819655128,40
2022-05-13,9806726606,135
2022-05-13,9719360218,26
2022-05-13,5056464525,112
2022-05-13,5057097743,63
2022-05-13,5055658910,119
2022-05-13,5056240225,107
2022-05-13,5056467232,134
2022-05-13,4722268468,23
2022-05-13,8543590741,9
2022-05-13,4722226294,122
2022-05-13,5056468071,48
2022-05-13,8654546512,12
2022-05-13,9735012194,31
2022-05-13,4722226294,138
2022-05-13,5056854630,123
2022-05-13,4722634713,13
2022-05-13,5056465839,47
2022-05-13,6782073335,49
2022-05-13,5056024646,24
2022-05-13,4722018173,10
2022-05-14,5056446398,32
2022-05-14,5056862245,36
2022-05-14,5052422922,7
2022-05-14,7817854007,113
2022-05-14,5056391882,54
2022-05-14,7817854007,13
2022-05-14,5055886479,31
2022-05-14,7653651963,58
2022-05-14,7732000339,14
2022-05-14,3187054564,29
2022-05-14,5056034415,119
2022-05-14,9566170631,9
2022-05-14,9853485465,12
2022-05-14,5056815783,32
2022-05-14,9846925504,134
2022-05-14,9856239159,32
2022-05-14,9802597919,8
2022-05-14,9895922699,53
2022-05-14,9494334827,47
2022-05-14,5056467685,34
2022-05-14,5056858439,59
2022-05-14,5056462505,118
2022-05-14,9843205575,59
2022-05-14,9792780903,44
2022-05-14,4722656338,64
2022-05-14,8783375491,131
2022-05-14,8787009774,51
2022-05-14,9854370463,36
2022-05-14,8608666835,48
2022-05-14,7544970170,53
2022-05-14,5056440511,14
2022-05-14,5056460544,44
2022-05-14,4582355091,30
2022-05-14,5056148303,59
2022-05-14,5056443758,48
2022-05-15,9497726763,53
2022-05-15,4722656338,110
2022-05-15,4722730486,132
2022-05-15,9803031987,13
2022-05-15,8593431336,145
2022-05-15,5056467378,5
2022-05-15,6783423206,124
2022-05-15,5056071024,9
2022-05-15,7705348554,55
2022-05-15,9894093512,130
2022-05-15,9848508510,12
2022-05-15,5056468240,6
2022-05-15,7405528201,11
2022-05-15,9868876840,130
2022-05-15,8326610070,8
2022-05-15,5052490027,10
2022-05-15,4722909395,33
2022-05-15,5054328700,110
2022-05-15,5056440524,130
2022-05-15,9855311252,119
2022-05-15,4722442610,11
2022-05-15,9846728558,65
2022-05-15,5057097743,41
2022-05-15,5056462878,25
2022-05-15,9859214233,114
2022-05-15,9789963750,48
2022-05-15,5058612963,135
2022-05-15,5056137065,17
2022-05-15,5056442617,26
2022-05-15,9494334827,10
2022-05-15,8782434743,12
2022-05-15,9846925504,132
2022-05-15,4722045129,61
2022-05-15,4805885824,13
2022-05-15,4722336649,29
2022-05-15,5056442720,40
2022-05-15,5056469759,119
2022-05-16,4722480447,116
2022-05-16,6786887855,9
2022-05-16,9847562019,11
2022-05-16,5056713240,147
2022-05-16,5056339320,26
2022-05-16,9596089103,7
2022-05-16,9803031987,38
2022-05-16,5056469467,43
2022-05-16,4722422838,125
2022-05-16,9707126285,39
2022-05-16,9896611926,58
2022-05-16,5056533571,111
2022-05-16,9705328777,16
2022-05-16,5052566410,114
2022-05-16,7863392224,138
2022-05-16,5056387331,44
2022-05-16,4722056329,50
2022-05-16,8704247123,116
2022-05-16,8289117481,10
2022-05-16,5055386050,50
2022-05-16,5055403544,49
2022-05-16,5753590761,21
2022-05-16,2726514133,23
2022-05-16,5056324447,59
2022-05-16,5052207222,8
2022-05-16,5053657468,36
2022-05-16,7544970170,48
2022-05-16,4722130825,119
2022-05-16,9783216210,59
2022-05-16,7854612504,53
2022-05-17,9865799344,12
2022-05-17,5056034415,32
2022-05-17,8355761100,48
2022-05-17,9847562019,35
2022-05-17,4722833029,48
2022-05-17,9708810068,48
2022-05-17,5056533571,22
2022-05-17,9364883207,28
2022-05-17,9802262899,30
2022-05-17,9548830907,36
2022-05-17,9599034385,10
2022-05-17,5056443235,14
2022-05-17,5058000014,25
2022-05-17,7728158437,30
2022-05-17,5056679983,58
2022-05-17,5054787187,55
2022-05-17,5056449973,9
2022-05-17,8508977947,30
2022-05-17,5055974589,61
2022-05-17,7432288304,34
2022-05-17,5056441445,107
2022-05-17,7818450688,11
2022-05-17,5056447134,12
2022-05-18,7867352070,58
2022-05-18,9846925504,136
2022-05-18,5056444038,104
2022-05-18,5056584192,106
2022-05-18,9856527248,32
2022-05-18,4722480447,35
2022-05-18,5056504301,34
2022-05-18,7792446673,51
2022-05-18,5054352079,19
2022-05-18,4722126952,47
2022-05-18,5055386050,34
2022-05-18,7792446673,37
2022-05-18,6802531352,20
2022-05-18,9853301710,8
2022-05-18,5056466313,44
2022-05-18,8504648192,16
2022-05-18,5056468240,16
2022-05-18,5058254832,45
2022-05-18,9842011887,123
2022-05-18,5056466313,58
2022-05-18,4847928314,121
2022-05-18,7813263076,43
2022-05-18,9863029859,30
2022-05-18,7854309842,129
2022-05-18,5743253885,12
2022-05-18,5057750822,117
2022-05-18,6783298750,35
2022-05-18,5056445951,13
2022-05-18,9847275932,27
2022-05-18,8708179303,46
2022-05-18,9849202580,57
2022-05-18,8656921081,12
2022-05-18,8727964815,60
2022-05-18,7544970170,11
2022-05-18,5056072487,104
2022-05-18,7578133250,109
2022-05-18,9862737520,105
2022-05-18,5055541391,113
2022-05-19,4722180500,41
2022-05-19,9595391453,126
2022-05-19,5052656730,114
2022-05-19,5056257346,44
2022-05-19,5056461814,67
2022-05-19,9522738153,38
2022-05-19,8785351960,38
2022-05-19,8503497634,32
2022-05-19,9595391453,24
2022-05-19,7814168471,41
2022-05-19,5056462380,6
2022-05-19,9853301710,57
2022-05-19,5056465502,126
2022-05-19,4722557805,42
2022-05-19,8705770605,52
2022-05-19,4722376069,27
2022-05-19,5052229224,7
2022-05-19,4722278803,61
2022-05-19,4722980215,33
2022-05-19,5056440244,112
2022-05-19,8638731681,139
2022-05-19,4847928314,116
2022-05-19,5743884267,135
2022-05-19,9863029859,11
2022-05-19,9738433451,119
2022-05-19,8708179303,54
2022-05-19,8563972506,32
2022-05-19,5804418964,17
2022-05-19,5056099555,64
2022-05-19,4722870612,8
2022-05-19,5056468932,56
2022-05-19,5056182408,25
2022-05-19,9363130994,36
2022-05-19,4722090019,11
2022-05-19,8605967517,121
2022-05-19,5057097743,29
2022-05-19,5056696514,35
2022-05-20,8627259070,115
2022-05-20,4722788372,43
2022-05-20,8707958022,9
2022-05-20,4722896920,31
2022-05-20,8784787578,107
2022-05-20,8603750814,31
2022-05-20,4722628410,11
2022-05-20,4722921095,28
2022-05-20,7544069763,56
2022-05-20,5056441385,48
2022-05-20,7432288304,120
2022-05-20,4722521697,29
2022-05-20,8473165817,8
2022-05-20,7544069763,109
2022-05-20,4792578609,120
2022-05-20,8703906947,49
2022-05-20,7573680908,113
2022-05-20,5057213808,8
2022-05-20,5743211524,130
2022-05-20,4722521697,51
2022-05-20,9855030779,27
2022-05-20,5056449083,39
2022-05-20,4722315204,116
2022-05-20,5054509699,46
2022-05-20,9032886791,9
2022-05-20,5052040735,32
2022-05-20,5056444112,48
2022-05-20,4722586356,147
2022-05-20,5056180166,9
2022-05-20,5056468932,61
2022-05-20,4722113040,28
2022-05-20,9862527763,52
2022-05-20,6232102601,32
2022-05-20,5058565416,13
2022-05-20,5056441385,10
2022-05-20,9846925504,58
2022-05-20,5058216635,8
2022-05-20,9797619517,27
2022-05-21,8709176861,119
2022-05-21,9808380500,51
2022-05-21,8657820870,127
2022-05-21,5056448713,7
2022-05-21,9802262899,32
2022-05-21,5056180166,122
2022-05-21,9713355319,54
2022-05-21,4722188387,15
2022-05-21,6805266139,17
2022-05-21,5053230246,112
2022-05-21,4722336649,54
2022-05-21,9849954923,119
2022-05-21,9798966279,107
2022-05-21,8788190657,27
2022-05-21,5056136467,21
2022-05-21,5056444574,28
2022-05-21,5059529550,117
2022-05-21,4722692729,46
2022-05-21,7862164304,117
2022-05-21,5056468932,29
2022-05-21,5055822869,45
2022-05-21,5056468417,23
2022-05-21,5056462557,51
2022-05-21,5055684089,28
2022-05-21,5056919954,114
2022-05-21,8604972683,114
2022-05-21,7862164304,9
2022-05-21,9566170631,30
2022-05-21,4634355458,128
2022-05-22,9497726763,27
2022-05-22,5056858439,114
2022-05-22,9864632238,15
2022-05-22,7626912243,30
2022-05-22,9856239159,37
2022-05-22,8603750814,51
2022-05-22,6802531352,122
2022-05-22,4722797163,132
2022-05-22,5053802401,129
2022-05-22,4805885824,34
2022-05-22,5056463131,119
2022-05-22,5055211075,125
2022-05-22,8646513365,52
2022-05-22,5056440688,26
2022-05-22,4722256563,9
2022-05-22,5057105173,56
2022-05-22,7728158437,32
2022-05-22,5056464539,8
2022-05-22,9719060912,33
2022-05-22,7578133250,9
2022-05-22,5055405305,38
2022-05-22,7854309842,56
2022-05-22,5056469779,9
2022-05-22,8709176861,55
2022-05-22,4634355458,46
2022-05-22,9522738153,26
2022-05-22,5822475441,53
2022-05-22,5056462783,46
2022-05-22,5056348596,134
2022-05-22,4722442610,108
2022-05-22,5056791155,113
2022-05-23,7867982915,7
2022-05-23,5059007210,36
2022-05-23,9849204294,35
2022-05-23,9786784848,10
2022-05-23,8326610070,44
2022-05-23,5056099555,136
2022-05-23,4722278803,13
2022-05-23,5055339181,12
2022-05-23,5056329715,123
2022-05-23,9895922699,12
2022-05-23,5056227882,10
2022-05-23,5056566682,127
2022-05-23,6893315237,11
2022-05-23,4722921095,57
2022-05-23,4722687535,8
2022-05-23,6824344485,12
2022-05-24,8726577713,12
2022-05-24,5056808607,118
2022-05-24,9342339780,102
2022-05-24,5058235155,34
2022-05-24,8543590741,29
2022-05-24,9405171480,37
2022-05-24,5056694003,64
2022-05-24,9412587234,46
2022-05-24,8637335757,53
2022-05-24,4722521697,39
2022-05-24,5056468240,50
2022-05-24,5056692144,57
2022-05-24,9785852022,125
2022-05-24,7573200304,51
2022-05-24,9807634137,30
2022-05-24,5056440943,12
2022-05-24,5056440943,14
2022-05-24,9842556481,36
2022-05-24,5056441824,130
2022-05-24,5056051746,116
2022-05-24,7705348554,37
2022-05-24,5056440517,12
2022-05-24,5053408820,36
2022-05-24,5055403544,45
2022-05-24,5056805191,28
2022-05-24,5056444976,28
2022-05-24,8657422251,65
2022-05-24,5053656673,62
2022-05-24,9852981332,113
2022-05-24,9798031564,57
2022-05-24,4722909395,10
2022-05-24,5056440012,35
2022-05-25,8604335787,44
2022-05-25,5056462557,49
2022-05-25,7814168471,18
2022-05-25,7754227990,12
2022-05-25,9865574138,36
2022-05-25,6784155835,23
2022-05-25,5055881220,58
2022-05-25,4722480447,13
2022-05-25,5056462505,11
2022-05-25,5058960509,58
2022-05-25,5056210779,14
2022-05-25,9797517581,28
2022-05-25,5056443550,127
2022-05-25,4722855158,131
2022-05-25,5056440810,104
2022-05-25,9798137235,10
2022-05-25,5057559517,23
2022-05-25,9807103355,113
2022-05-25,7814168471,41
2022-05-25,9522738153,115
2022-05-25,4722468425,121
2022-05-25,7738096448,10
2022-05-25,6786887855,27
2022-05-25,7657049847,135
2022-05-25,8725797366,55
2022-05-25,5056440012,34
2022-05-25,5056566682,26
2022-05-25,5056046201,49
2022-05-25,5054182893,110
2022-05-25,7626912243,43
2022-05-25,8603277129,50
2022-05-25,5056716383,105
2022-05-25,5056615814,132
2022-05-25,9843410445,58
2022-05-25,7636773188,13
2022-05-25,7657049847,30
2022-05-25,7732000339,30
2022-05-25,4722574286,32
2022-05-25,9897004355,122
2022-05-25,9803288241,64
2022-05-25,5056469029,12
2022-05-26,5056449308,127
2022-05-26,8788190657,47
2022-05-26,9864632238,117
2022-05-26,4722782697,7
2022-05-26,4722742993,29
2022-05-26,9807103355,62
2022-05-26,5824037048,56
2022-05-26,9868940946,42
2022-05-26,9859732372,51
2022-05-26,5056791068,9
2022-05-26,9709140996,7
2022-05-26,4722975574,16
2022-05-26,5059025280,57
2022-05-26,3187054564,53
2022-05-26,5056440459,55
2022-05-26,4722480447,111
2022-05-26,8729449796,118
2022-05-26,5753590761,50
2022-05-26,9853485465,14
2022-05-26,5056446374,15
2022-05-26,7749708687,31
2022-05-26,5056467378,34
2022-05-26,9805613149,11
2022-05-26,8786810087,11
2022-05-26,8786810087,13
2022-05-26,7705348554,129
2022-05-26,7815743310,10
2022-05-26,9897703995,26
2022-05-26,5056461814,95
2022-05-26,8784787578,108
2022-05-26,5056447134,126
2022-05-26,9719290823,29
2022-05-26,8708179303,110
2022-05-26,5054602188,14
2022-05-27,4722978307,15
2022-05-27,8013925015,43
2022-05-27,4722655865,13
2022-05-27,9457670082,52
2022-05-27,5053984969,47
2022-05-27,4722557805,48
2022-05-27,5057105173,65
2022-05-27,5055881220,62
2022-05-27,5056448284,43
2022-05-27,5056340129,6
2022-05-27,5054328700,53
2022-05-27,5055407589,10
2022-05-27,9798031564,11
2022-05-27,8657422251,51
2022-05-27,5057011953,48
2022-05-27,9788280383,53
2022-05-27,4722586356,34
2022-05-27,5056167322,28
2022-05-27,7815743310,14
2022-05-27,4722821407,139
2022-05-27,7698972615,54
2022-05-27,9799025150,14
2022-05-27,6146133093,114
2022-05-27,9808380500,47
2022-05-27,8786876472,7
2022-05-27,4722979848,66
2022-05-27,5052022709,45
2022-05-27,8326610070,64
2022-05-27,9788280383,29
2022-05-27,8706003849,25
2022-05-28,4722180500,33
2022-05-28,9712455532,49
2022-05-28,9844103924,24
2022-05-28,9562228081,25
2022-05-28,8726216953,36
2022-05-28,9845001933,26
2022-05-28,9593309496,9
2022-05-28,5056963159,23
2022-05-28,4722442610,12
2022-05-28,5056391882,127
2022-05-28,4722742993,114
2022-05-28,5056617744,11
2022-05-28,4722315204,59
2022-05-28,7627390257,35
2022-05-28,2726514133,113
2022-05-28,5056444038,126
2022-05-28,9525270670,118
2022-05-28,9792780903,55
2022-05-28,4722018173,116
2022-05-28,8782089986,12
2022-05-28,9566170631,12
2022-05-28,5056461419,12
2022-05-28,5057417101,33
2022-05-28,8635569301,47
2022-05-28,7709312072,27
2022-05-28,5056469177,50
2022-05-28,5056967852,36
2022-05-28,7653733823,41
2022-05-28,4722491682,138
2022-05-28,4722498307,143
2022-05-28,7729919993,82
2022-05-28,9868376751,10
2022-05-28,4634355458,39
2022-05-28,9852344948,54
2022-05-28,6563383559,28
2022-05-28,5056442617,118
2022-05-28,8326610070,121
2022-05-28,7748551710,9
2022-05-29,8607079857,147
2022-05-29,5056445089,12
2022-05-29,5057543683,109
2022-05-29,4722090019,35
2022-05-29,8626483565,40
2022-05-29,5057458090,9
2022-05-29,5052053878,38
2022-05-29,4722149556,115
2022-05-29,5055107502,27
2022-05-29,9517995330,28
2022-05-29,5056692144,50
2022-05-29,7852032051,106
2022-05-29,5058235155,6
2022-05-29,8704402157,121
2022-05-29,9807103355,36
2022-05-29,9868376751,132
2022-05-29,5056678197,119
2022-05-29,5056934719,38
2022-05-29,9864155787,23
2022-05-29,9849688813,110
2022-05-29,8579966579,50
2022-05-29,4722943405,12
2022-05-29,5056552854,25
2022-05-29,9847069643,63
2022-05-29,4804532076,52
2022-05-29,5052354031,137
2022-05-29,4722586356,43
2022-05-29,7657049847,24
2022-05-29,7818635349,41
2022-05-29,8785351960,123
2022-05-29,5052207222,118
2022-05-29,5059321289,9
2022-05-29,4722336649,34
2022-05-29,5053726638,26
2022-05-29,8455912314,122
2022-05-29,5059511490,27
2022-05-30,5052490027,14
2022-05-30,9786784848,38
2022-05-30,8709176861,30
2022-05-30,9867996156,11
2022-05-30,8704661917,49
2022-05-30,9806549304,25
2022-05-30,5056465400,53
2022-05-30,5829086849,13
2022-05-30,4722639377,49
2022-05-30,9847374294,129
2022-05-30,5056221360,30
2022-05-30,5056566682,19
2022-05-30,9848800003,122
2022-05-30,4722166659,12
2022-05-30,9862216374,126
2022-05-30,5056348596,129
